"fiscal_year","month","total","mexico","canada","india","china","france","philippines","nigeria","guatemala","venezuela","united_kingdom","other"
"2014","Total","117890","72560","23250","1050","1900","630","550","490","1120","180","1130","15040"
"2014","October","9890","6030","1940","60","140","70","60","50","100","20","110","1330"
"2014","November","9140","5550","1880","90","140","50","40","30","90","10","100","1160"
"2014","December","8870","5300","1780","70","170","60","60","40","110","10","80","1200"
"2014","January","8750","5200","1850","80","170","50","40","40","90","30","110","1110"
"2014","February","8140","4840","1770","70","150","40","40","30","70","10","80","1040"
"2014","March","10780","7010","1890","100","140","60","40","40","90","20","110","1300"
"2014","April","9910","6170","1960","120","130","60","50","40","100","10","100","1170"
"2014","May","11890","8110","1960","110","130","60","40","40","100","10","80","1260"
"2014","June","12930","8870","1970","90","150","50","60","40","140","20","100","1450"
"2014","July","10610","6670","2070","100","180","50","50","50","90","20","100","1250"
"2014","August","9350","4940","2290","90","200","50","60","40","80","20","100","1490"
"2014","September","7630","3890","1880","70","190","60","40","50","80","10","70","1290"
"2015","Total","86330","40470","22510","1120","2120","550","480","790","800","270","1110","16120"
"2015","October","8470","4730","1780","80","200","50","30","40","90","20","90","1360"
"2015","November","7510","3930","1800","100","130","40","30","70","80","30","100","1210"
"2015","December","7350","3620","1910","70","170","50","40","50","80","20","70","1270"
"2015","January","6660","3210","1720","70","210","50","20","60","60","10","90","1180"
"2015","February","6010","2980","1560","80","140","40","30","50","60","10","70","990"
"2015","March","7200","3330","1980","90","180","50","40","100","60","10","90","1260"
"2015","April","6840","3080","1840","100","190","40","40","80","50","20","90","1310"
"2015","May","7140","3170","1880","110","170","40","50","70","80","20","90","1450"
"2015","June","6880","2930","1880","100","180","50","40","50","60","30","90","1470"
"2015","July","7560","3230","2130","110","170","60","50","80","80","40","100","1510"
"2015","August","7750","3330","2080","100","210","50","60","60","60","20","110","1660"
"2015","September","6970","2940","1960","100","180","50","40","70","60","20","110","1450"
"2016","Total","76110","36740","18410","1570","1590","620","370","570","900","230","920","14180"
"2016","October","6170","3040","1500","100","150","40","30","60","80","20","80","1070"
"2016","November","5980","2880","1550","100","110","70","30","40","70","20","70","1060"
"2016","December","6640","3100","1540","320","140","70","30","50","60","20","70","1230"
"2016","January","6440","2810","1670","320","170","80","20","40","50","30","70","1180"
"2016","February","5950","2800","1470","80","140","60","40","50","70","10","80","1180"
"2016","March","6440","3300","1510","70","100","30","30","70","90","10","70","1140"
"2016","April","6340","3240","1510","130","120","40","30","40","80","10","60","1070"
"2016","May","6300","3100","1550","100","90","30","40","50","70","10","80","1180"
"2016","June","6390","3110","1510","90","110","40","40","40","90","20","90","1250"
"2016","July","6240","2990","1490","100","120","60","30","30","70","20","90","1250"
"2016","August","6770","3100","1650","80","220","60","30","50","100","30","90","1360"
"2016","September","6460","3270","1460","80","130","50","40","60","80","20","80","1200"
"2017","Total","85620","39530","18520","1500","2170","710","510","1000","1340","550","1100","18710"
"2017","October","8200","4320","1570","110","230","60","50","90","90","30","110","1560"
"2017","November","7090","3610","1470","110","180","60","40","70","110","30","100","1330"
"2017","December","6790","3160","1490","110","190","70","50","100","80","30","90","1440"
"2017","January","7260","3260","1590","130","190","60","30","60","100","60","70","1720"
"2017","February","5820","2680","1330","110","160","30","30","90","90","40","70","1190"
"2017","March","6310","2710","1540","120","130","40","40","70","110","50","80","1430"
"2017","April","6460","2880","1530","110","140","50","40","110","110","40","80","1360"
"2017","May","6870","3140","1460","120","130","60","40","80","160","40","90","1580"
"2017","June","7360","3350","1560","130","170","60","50","70","130","70","80","1700"
"2017","July","7670","3380","1640","180","170","60","50","100","110","50","100","1840"
"2017","August","8510","3760","1750","130","300","100","50","80","150","50","130","2000"
"2017","September","7290","3280","1590","150","180","90","50","100","120","60","100","1580"
"2018","Total","87170","39890","14900","2160","1930","1370","700","1090","2130","1590","1360","20060"
"2018","October","7970","3660","1490","160","150","110","50","110","170","170","130","1790"
"2018","November","7420","3490","1460","130","160","40","40","110","180","150","110","1540"
"2018","December","7450","3090","1450","220","220","130","70","130","160","180","110","1700"
"2018","January","7860","3300","1430","310","250","270","100","90","160","80","100","1780"
"2018","February","7820","3270","1410","290","180","240","110","90","170","160","110","1810"
"2018","March","8790","3900","1600","290","210","210","110","100","150","130","100","2010"
"2018","April","7570","3550","1450","160","130","50","60","100","200","80","130","1670"
"2018","May","7840","3620","1550","160","150","60","50","60","250","160","110","1690"
"2018","June","7540","3250","1480","180","130","70","50","90","160","140","130","1860"
"2018","July","5090","2610","500","90","60","70","30","80","170","120","120","1250"
"2018","August","6070","3270","540","70","170","60","30","80","220","110","120","1420"
"2018","September","5750","2880","560","100","130","70","30","60","150","130","100","1550"
"2019","Total","81390","42100","11100","1370","1340","750","420","390","2620","590","1370","19330"
"2019","October","6480","3320","650","100","90","70","30","40","250","120","80","1740"
"2019","November","5770","2920","640","80","80","50","40","40","270","70","120","1480"
"2019","December","5840","2820","710","90","110","50","30","40","290","60","100","1540"
"2019","January","5610","2880","590","90","120","60","30","30","170","80","110","1470"
"2019","February","5670","2830","780","140","100","50","30","20","190","50","100","1390"
"2019","March","6720","3490","870","160","100","70","40","40","200","40","120","1590"
"2019","April","7030","3680","1160","130","120","60","30","30","200","30","120","1460"
"2019","May","8410","4990","1040","130","90","50","40","30","230","40","110","1680"
"2019","June","8380","4660","1160","120","100","90","40","30","190","30","120","1840"
"2019","July","7210","3620","1200","110","100","60","40","40","220","20","130","1680"
"2019","August","7780","3880","1260","140","220","70","40","20","240","40","130","1750"
"2019","September","6500","3010","1040","90","130","80","40","40","190","30","130","1720"
"2020","Total","53390","27120","7440","940","900","380","250","160","2150","230","690","13120"
"2020","October","7140","3120","1020","120","120","80","30","20","330","60","160","2080"
"2020","November","6890","3060","1100","120","110","70","50","20","310","40","120","1890"
"2020","December","7350","3260","1110","160","150","60","40","30","410","30","90","2020"
"2020","January","7300","3420","1120","190","190","50","40","30","290","30","110","1830"
"2020","February","6820","3240","1080","150","120","40","40","20","260","30","120","1720"
"2020","March","6670","4180","660","80","120","40","20","10","180","20","50","1300"
"2020","April","1240","870","90","10","20","10","0","0","40","0","0","220"
"2020","May","1590","1110","130","10","10","0","0","0","50","0","0","270"
"2020","June","1740","1050","260","30","10","10","0","0","50","0","10","320"
"2020","July","2100","1210","290","30","20","10","10","0","40","10","10","470"
"2020","August","2240","1310","250","30","10","10","10","0","100","10","20","490"
"2020","September","2320","1280","330","30","20","10","10","10","100","10","20","520"
"2021","Total","49690","31000","7090","460","300","200","240","60","760","180","340","9070"
"2021","October","2790","1360","330","30","20","20","10","10","190","10","20","780"
"2021","November","3040","1880","290","30","20","20","20","0","100","20","10","660"
"2021","December","3950","2740","320","30","10","20","20","0","100","20","20","660"
"2021","January","3940","2700","350","30","20","10","30","10","50","20","20","700"
"2021","February","3600","2500","280","40","10","10","10","0","60","30","10","640"
"2021","March","4560","3120","490","60","20","10","20","10","60","10","20","740"
"2021","April","4280","2970","510","60","30","20","20","10","30","10","20","600"
"2021","May","4600","3150","650","20","30","20","20","0","30","10","30","650"
"2021","June","4640","2840","810","20","20","20","20","0","30","10","50","810"
"2021","July","4730","2530","1060","40","30","20","20","10","30","10","40","930"
"2021","August","4710","2540","1000","40","50","10","20","0","30","10","40","960"
"2021","September","4860","2680","990","50","40","20","30","10","40","20","40","950"
"2022","Total","80950","42220","15680","1780","1850","510","620","280","520","200","1090","16200"
"2022","October","5560","3150","970","50","50","20","40","0","50","20","50","1160"
"2022","November","6370","3360","1350","110","70","40","50","10","50","20","100","1220"
"2022","December","6030","3060","1380","140","90","30","40","20","50","10","60","1160"
"2022","January","5970","3340","1020","120","80","50","50","10","30","10","80","1180"
"2022","February","6550","3730","1010","200","130","40","70","20","40","10","70","1220"
"2022","March","7920","4400","1340","200","180","60","70","20","40","20","90","1510"
"2022","April","7900","4120","1470","210","240","40","70","30","60","10","130","1540"
"2022","May","7420","3880","1390","130","230","40","40","20","50","20","120","1510"
"2022","June","6610","3220","1390","90","180","50","50","20","40","30","90","1460"
"2022","July","6560","3000","1510","140","210","50","70","30","40","30","110","1380"
"2022","August","6970","3370","1490","150","230","50","40","50","40","20","100","1460"
"2022","September","7090","3600","1380","240","180","50","50","50","30","10","100","1410"
"2023","Total","288820","150490","24160","18230","9530","10040","3340","3420","3340","4200","5320","56750"
"2023","October","9980","3800","1550","210","310","450","30","100","80","20","510","2930"
"2023","November","8680","3730","1430","190","300","210","40","30","50","20","340","2340"
"2023","December","13990","8840","1500","260","380","210","30","70","50","20","250","2380"
"2023","January","15290","8940","1670","970","440","160","100","130","50","20","320","2490"
"2023","February","11650","3780","1830","1510","690","150","150","200","50","20","290","2980"
"2023","March","14310","4600","2040","1600","830","530","190","200","70","40","370","3850"
"2023","April","15590","4110","2070","1940","820","1150","300","230","40","30","380","4520"
"2023","May","35880","19500","2310","2580","980","1280","510","440","220","1180","450","6440"
"2023","June","40580","23760","2240","2100","1090","1350","540","330","690","960","480","7050"
"2023","July","40360","23040","2570","2120","1160","1620","410","420","830","400","680","7120"
"2023","August","44220","25040","2710","2100","1360","1660","510","530","900","860","730","7830"
"2023","September","38300","21350","2240","2640","1190","1270","530","750","320","640","530","6840"
"2024 YTD","Total","242930","134310","20160","17210","8180","6170","4910","4530","2780","1470","2580","40620"
"2024 YTD","October","37810","22080","3010","2280","1030","1060","660","670","280","440","450","5850"
"2024 YTD","November","34750","20150","2780","2330","1140","840","590","650","410","130","400","5330"
"2024 YTD","December","32310","17450","2650","2500","1210","820","600","760","420","210","320","5360"
"2024 YTD","January","32060","16300","2660","2780","1260","730","580","780","320","430","320","5900"
"2024 YTD","February","34710","19460","2730","2300","1370","890","660","550","710","60","300","5680"
"2024 YTD","March","36830","20400","3100","2410","1140","970","950","510","400","70","360","6530"
"2024 YTD","April","34450","18460","3240","2600","1040","850","870","620","240","130","440","5960"
